en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁window,▁окно,5912,160993,0.1687,0.8525
▁windows,▁окна,11273,114847,0.2483,0.63
▁wine,▁вино,10058,104144,0.2612,0.8687
▁winner,▁победи,16995,168101,0.2896,0.2407
▁winter,▁зима,7830,149206,0.2136,0.8975
▁with,▁с,675,941,0.3923,0.2996
▁without,▁без,2346,14890,0.657,0.819
▁witness,▁свиде,13229,109449,0.4302,0.522
▁wooden,▁деревя,11769,99739,0.03488,0.395
▁wool,▁шер,23834,127606,0.1458,0.13
▁word,▁слово,2204,76897,0.175,0.891
▁words,▁слова,3907,32110,0.2527,0.4426
▁work,▁работа,1160,20390,0.1236,0.604
▁worked,▁работал,6800,168257,0.365,0.6377
▁works,▁работает,3598,58114,0.1509,0.771
▁worse,▁хуже,12302,182102,0.4094,0.596
▁worthy,▁достой,23183,164064,0.03146,0.365
▁writer,▁писатель,11729,213269,0.4033,0.7837
▁writes,▁пишет,20332,104802,0.785,0.774
▁wrote,▁написал,6559,125122,0.3198,0.7056
▁year,▁год,1162,25281,0.3596,0.856
▁yesterday,▁вчера,13351,170516,0.3494,0.8203
▁yet,▁еще,3599,21878,0.2036,0.2527
▁you,▁ты,692,17164,0.3628,0.61
▁young,▁молодой,3486,183526,0.0711,0.8813
▁younger,▁млад,16119,156548,0.5054,0.397
▁your,▁ваш,861,85433,0.2274,0.6934
▁zero,▁ну,8199,16079,0.264,0.2969
▁zone,▁зона,10277,140988,0.0517,0.6353
